Watching for file changes with StatReloader
Cannot execute silk_profile as silk is not installed correctly.
Calling HTTPbin
Received the Response
/mnt/c/Users/natiq/Desktop/storeapp/storefront/settings.py changed, reloading.
2024-01-25 18:46:02,151, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 18:56:43,770, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 18:56:44,039, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:01:24,684, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:01:24,684, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:01:29,441, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 19:01:29,947, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:06:34,093, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:06:34,271, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:06:39,637, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 19:06:39,848, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:20:50,707, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:20:58,823, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:21:00,265, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 19:21:00,523, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:25:15,487, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:25:15,530, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:25:17,954, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 19:25:18,477, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 19:57:47,506, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 19:57:47,955, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:01:01,352, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:01:01,352, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:01:02,917, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 20:01:03,964, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:02:43,781, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:02:49,668, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:02:51,631, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 20:02:52,485, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:46:11,200, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:46:11,261, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:46:14,204, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 20:46:14,718, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:47:17,237, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:47:24,920, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-25 20:47:30,013, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-25 20:47:30,670, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-26 09:04:23,403, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-26 09:04:24,303, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-26 09:07:24,853, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-26 09:07:25,021, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
2024-01-26 09:07:31,774, (INFO) - django.utils.autoreload - Watching for file changes with StatReloader
2024-01-26 09:07:32,612, (WARNING) - silk.profiling.profiler - Cannot execute silk_profile as silk is not installed correctly.
